accident_reference,date_of_collision,time_of_collision,collision_severity,easting,northing,first_road_class,second_road_class,division,local_authority,cycle_involved
1030110,22-Mar-21,7:14:00 AM,Serious,335803,670731,A,#NULL!,The Lothians and Scottish Borders,East Lothian,
1030117,06-Mar-21,2:06:00 PM,Serious,354883,816010,Unclassified,#NULL!,North East,Aberdeenshire,
1030159,23-Mar-21,7:45:00 AM,Slight,259293,665260,Unclassified,Unclass,Greater Glasgow,Glasgow City,
1030224,19-Mar-21,7:05:00 AM,Slight,255212,661193,B,#NULL!,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1030258,22-Mar-21,11:03:00 AM,Slight,336356,729803,A,Unclass,Tayside,Dundee City,
1030270,18-Mar-21,3:15:00 PM,Slight,227135,675574,B,#NULL!,Renfrewshire and Inverclyde,Inverclyde,
1030275,23-Mar-21,11:30:00 AM,Serious,241946,645844,A,B,Ayrshire,East Ayrshire,
1030280,22-Mar-21,12:04:00 PM,Fatal,298672,572327,B,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1030297,15-Apr-20,12:42:00 PM,Serious,383664,810646,B,Unclass,North East,Aberdeen City,
1030303,21-Mar-21,12:45:00 PM,Slight,214965,593272,A,#NULL!,Ayrshire,South Ayrshire,
1030329,14-Jan-21,10:20:00 AM,Slight,260609,669809,A,#NULL!,Greater Glasgow,East Dunbartonshire,
1030394,02-Mar-21,12:00:00 PM,Slight,245212,637153,B,#NULL!,Ayrshire,East Ayrshire,
1030404,22-Mar-21,10:40:00 PM,Slight,333311,664284,B,#NULL!,The Lothians and Scottish Borders,Midlothian,
1030468,24-Mar-21,9:19:00 AM,Slight,233099,617840,B,Unclass,Ayrshire,South Ayrshire,Involving at least 1 x Pedal Cycle
1030481,24-Mar-21,7:49:00 AM,Slight,260542,662151,MOTORWAY,#NULL!,Lanarkshire,South Lanarkshire,
1030503,24-Mar-21,1:05:00 PM,Serious,255013,664143,A,Unclass,Greater Glasgow,Glasgow City,
1030505,24-Mar-21,2:42:00 PM,Serious,261901,659367,Unclassified,#NULL!,Lanarkshire,South Lanarkshire,
1030509,24-Mar-21,3:19:00 PM,Serious,241261,672924,MOTORWAY,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
1030510,19-Mar-21,11:39:00 AM,Serious,267055,644215,Unclassified,#NULL!,Lanarkshire,South Lanarkshire,Involving at least 1 x Pedal Cycle
1030513,24-Mar-21,4:01:00 PM,Serious,252859,665864,A,A,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1030515,24-Mar-21,5:20:00 PM,Serious,241515,672389,A,Unclass,Renfrewshire and Inverclyde,Renfrewshire,
1030517,23-Mar-21,5:15:00 PM,Serious,394845,807673,Unclassified,Unclass,North East,Aberdeen City,Involving at least 1 x Pedal Cycle
1030525,24-Mar-21,9:30:00 PM,Slight,337344,733144,Unclassified,Unclass,Tayside,Dundee City,
1030557,01-Mar-21,4:50:00 PM,Slight,286374,680259,Unclassified,Unclass,Forth Valley,Falkirk,Involving at least 1 x Pedal Cycle
1030619,02-Dec-20,8:30:00 AM,Slight,259463,662889,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
1030640,22-Mar-21,8:58:00 PM,Serious,295710,576883,A,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1030740,25-Mar-21,11:33:00 AM,Slight,312181,686916,Unclassified,#NULL!,Fife,Fife,
1030898,25-Mar-21,9:45:00 AM,Slight,322693,672189,Unclassified,A,Edinburgh,City of Edinburgh,
1030900,15-Dec-20,2:00:00 PM,Slight,276992,674660,Unclassified,Unclass,Lanarkshire,North Lanarkshire,Involving at least 1 x Pedal Cycle
1031013,26-Mar-21,3:14:00 PM,Slight,298273,646409,Unclassified,Unclass,Lanarkshire,South Lanarkshire,
1031033,24-Mar-21,11:00:00 AM,Serious,327033,675868,Unclassified,Unclass,Edinburgh,City of Edinburgh,
1031045,26-Mar-21,5:22:00 PM,Slight,262603,663569,Unclassified,A,Greater Glasgow,Glasgow City,
1031049,25-Mar-21,4:58:00 PM,Slight,397982,831012,A,#NULL!,North East,Aberdeenshire,
1031053,26-Mar-21,5:05:00 PM,Slight,349485,674007,A,#NULL!,The Lothians and Scottish Borders,East Lothian,
1031064,27-Mar-21,6:23:00 AM,Slight,249203,652602,B,#NULL!,Greater Glasgow,East Renfrewshire,
1031087,27-Mar-21,11:30:00 AM,Slight,235125,622874,Unclassified,#NULL!,Ayrshire,South Ayrshire,
1031097,27-Mar-21,12:05:00 PM,Slight,268348,669500,B,A,Lanarkshire,North Lanarkshire,Involving at least 1 x Pedal Cycle
1031100,26-Mar-21,2:13:00 PM,Serious,310004,597980,A(M),#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1031101,26-Mar-21,2:13:00 PM,Slight,310017,598030,A(M),#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1031129,27-Mar-21,4:35:00 PM,Slight,237672,659405,A,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
1031155,18-Mar-21,5:12:00 PM,Slight,311668,703012,A,B,Tayside,Perth & Kinross,Involving at least 1 x Pedal Cycle
1031164,26-Mar-21,2:19:00 PM,Slight,310199,591105,A(M),#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1031168,26-Mar-21,5:40:00 PM,Serious,305516,700965,Unclassified,#NULL!,Tayside,Perth & Kinross,
1031171,27-Mar-21,5:10:00 PM,Serious,377009,837064,A,#NULL!,North East,Aberdeenshire,
1031172,28-Feb-21,5:20:00 PM,Serious,409508,852560,A,#NULL!,North East,Aberdeenshire,
1031176,28-Mar-21,2:51:00 AM,Serious,312304,683265,MOTORWAY,#NULL!,Fife,Fife,
1031177,27-Mar-21,9:36:00 PM,Fatal,263470,869521,B,Unclass,Highland and Islands,Highland,
1031208,14-Mar-21,4:00:00 PM,Slight,262922,663952,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1031246,18-Mar-21,4:10:00 PM,Slight,318191,573229,Unclassified,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
1031251,28-Mar-21,7:00:00 PM,Slight,279355,679790,MOTORWAY,#NULL!,Forth Valley,Falkirk,
1031253,28-Mar-21,7:00:00 PM,Slight,279312,679770,MOTORWAY,#NULL!,Forth Valley,Falkirk,
1031254,27-Mar-21,3:55:00 PM,Serious,208202,553876,A,Unclass,Dumfries and Galloway,Dumfries & Galloway,
1031257,27-Mar-21,5:29:00 PM,Slight,263051,867644,A,B,Highland and Islands,Highland,
1031262,29-Mar-21,3:30:00 AM,Slight,293784,675262,B,#NULL!,Forth Valley,Falkirk,
1031329,26-Mar-21,9:30:00 AM,Slight,257405,665882,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1031404,28-Mar-21,10:00:00 PM,Slight,238101,620603,A,#NULL!,Ayrshire,South Ayrshire,
1031531,29-Mar-21,6:05:00 PM,Slight,253204,671154,Unclassified,Unclass,Greater Glasgow,Glasgow City,
1031553,20-Mar-21,6:10:00 PM,Serious,257622,658052,Unclassified,Unclass,Greater Glasgow,East Renfrewshire,Involving at least 1 x Pedal Cycle
1031574,28-Mar-21,3:00:00 PM,Serious,253093,663468,Unclassified,Unclass,Greater Glasgow,Glasgow City,
1031709,30-Mar-21,10:50:00 AM,Serious,311892,723361,Unclassified,#NULL!,Tayside,Perth & Kinross,
1031732,30-Mar-21,11:09:00 AM,Slight,323111,686084,Unclassified,Unclass,Fife,Fife,
1031734,27-Mar-21,6:55:00 PM,Slight,260463,665128,B,B,Greater Glasgow,Glasgow City,
1031787,30-Mar-21,3:35:00 PM,Slight,251780,669367,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1031790,28-Mar-21,11:15:00 AM,Slight,279360,653303,B,B,Lanarkshire,North Lanarkshire,
1031833,30-Mar-21,4:20:00 PM,Serious,316976,690874,A,A,Fife,Fife,
1031838,30-Mar-21,5:10:00 PM,Slight,328487,701303,A,#NULL!,Fife,Fife,
1031841,30-Mar-21,6:30:00 PM,Slight,262207,670642,Unclassified,Unclass,Greater Glasgow,East Dunbartonshire,Involving at least 1 x Pedal Cycle
1031843,26-Mar-21,1:24:00 PM,Slight,309106,683507,A,#NULL!,Fife,Fife,
1031977,25-Mar-21,3:35:00 PM,Serious,258913,663627,A,A,Greater Glasgow,Glasgow City,
1032071,31-Mar-21,8:40:00 AM,Slight,446890,1141989,A,#NULL!,Highland and Islands,Shetland Islands,
1032090,26-Mar-21,8:45:00 AM,Slight,327631,675995,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
1032093,30-Mar-21,5:30:00 PM,Serious,328801,671647,A,Unclass,Edinburgh,City of Edinburgh,
1032115,21-Mar-21,2:25:00 PM,Serious,315975,704151,A,#NULL!,Tayside,Perth & Kinross,
1032120,31-Mar-21,7:00:00 AM,Slight,228735,942050,A,#NULL!,Highland and Islands,Highland,
1032141,31-Mar-21,3:50:00 PM,Slight,319373,671406,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
1032167,31-Mar-21,3:50:00 PM,Serious,338078,700594,Unclassified,Unclass,Fife,Fife,
1032168,31-Mar-21,6:35:00 PM,Serious,297744,687165,A,#NULL!,Fife,Fife,
1032170,31-Mar-21,7:40:00 PM,Serious,269516,660792,B,#NULL!,Lanarkshire,South Lanarkshire,
1032180,24-Mar-21,8:25:00 AM,Slight,300452,676988,Unclassified,Unclass,The Lothians and Scottish Borders,West Lothian,
1032182,31-Mar-21,10:00:00 PM,Slight,254974,674316,B,#NULL!,Greater Glasgow,East Dunbartonshire,
1032202,29-Mar-21,4:20:00 AM,Serious,341647,673610,A,#NULL!,The Lothians and Scottish Borders,East Lothian,
1032308,01-Apr-21,9:00:00 AM,Slight,340156,730705,A,A,Tayside,Dundee City,
1032315,01-Apr-21,8:41:00 AM,Slight,340268,730705,A,#NULL!,Tayside,Dundee City,
1032369,24-Mar-21,6:50:00 PM,Slight,237690,659428,A,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
1032381,01-Apr-21,1:40:00 PM,Slight,343325,750233,A,#NULL!,Tayside,Angus,
1032473,01-Apr-21,12:48:00 PM,Slight,260891,665021,Unclassified,Unclass,Greater Glasgow,Glasgow City,
1032485,31-Mar-21,3:30:00 PM,Slight,322976,671863,A,#NULL!,Edinburgh,City of Edinburgh,
1032490,02-Apr-21,2:18:00 PM,Serious,185904,668280,Unclassified,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
1032500,02-Apr-21,2:06:00 PM,Serious,270845,658046,A,#NULL!,Lanarkshire,South Lanarkshire,
1032505,02-Apr-21,6:10:00 PM,Slight,225499,643665,A,#NULL!,Ayrshire,North Ayrshire,
1032509,02-Apr-21,4:15:00 PM,Serious,339498,732187,B,Unclass,Tayside,Dundee City,
1032511,02-Apr-21,4:47:00 PM,Serious,322830,673252,Unclassified,A,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
1032512,02-Apr-21,4:40:00 PM,Serious,338227,730296,Unclassified,Unclass,Tayside,Dundee City,
1032514,02-Apr-21,6:15:00 PM,Serious,248615,668556,A,Unclass,Renfrewshire and Inverclyde,Renfrewshire,Involving at least 1 x Pedal Cycle
1032519,30-Mar-21,12:30:00 PM,Slight,339414,732213,B,Unclass,Tayside,Dundee City,Involving at least 1 x Pedal Cycle
1032523,30-Mar-21,1:55:00 PM,Slight,247590,670205,Unclassified,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
1032526,02-Apr-21,8:57:00 PM,Slight,258857,664847,A,#NULL!,Greater Glasgow,Glasgow City,
1032527,02-Apr-21,4:05:00 PM,Slight,259495,664619,Unclassified,A,Greater Glasgow,Glasgow City,
1032545,31-Mar-21,2:40:00 PM,Serious,273563,848379,A,#NULL!,Highland and Islands,Highland,
1032567,24-Mar-21,7:50:00 AM,Slight,275903,561157,B,Unclass,Dumfries and Galloway,Dumfries & Galloway,
1032575,25-Aug-20,1:50:00 PM,Slight,240402,681950,Unclassified,#NULL!,Argyll and West Dunbartonshire,West Dunbartonshire,
1032582,03-Apr-21,11:05:00 AM,Serious,333093,730538,C,#NULL!,Tayside,Dundee City,
1032585,03-Apr-21,11:30:00 AM,Slight,342406,675920,B,#NULL!,The Lothians and Scottish Borders,East Lothian,Involving at least 1 x Pedal Cycle
1032591,02-Apr-21,3:17:00 PM,Fatal,194303,734081,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
1032606,03-Apr-21,10:45:00 AM,Serious,278874,628438,A,#NULL!,Lanarkshire,South Lanarkshire,
1032635,03-Apr-21,4:25:00 PM,Serious,313888,644536,A,#NULL!,The Lothians and Scottish Borders,Scottish Borders,
1032639,03-Apr-21,5:28:00 PM,Slight,251950,656156,B,Unclass,Greater Glasgow,East Renfrewshire,
1032641,03-Apr-21,6:00:00 PM,Serious,288827,667149,Unclassified,#NULL!,The Lothians and Scottish Borders,West Lothian,
1032645,03-Apr-21,4:18:00 PM,Slight,328614,744818,A,Unclass,Tayside,Perth & Kinross,
1032674,04-Apr-21,6:12:00 AM,Slight,229668,651369,B,B,Ayrshire,North Ayrshire,
1032686,04-Apr-21,12:00:00 PM,Slight,230316,642725,B,Unclass,Ayrshire,North Ayrshire,
1032691,04-Apr-21,1:34:00 PM,Slight,322673,689110,B,#NULL!,Fife,Fife,
1032698,03-Apr-21,4:30:00 PM,Fatal,294891,655262,A,Unclass,Lanarkshire,South Lanarkshire,
1032700,02-Apr-21,5:15:00 PM,Serious,282254,657026,Unclassified,#NULL!,Lanarkshire,North Lanarkshire,
1032704,03-Apr-21,3:00:00 PM,Slight,318065,692977,B,#NULL!,Fife,Fife,
1032724,02-Apr-21,5:36:00 PM,Slight,261859,664539,A,A,Greater Glasgow,Glasgow City,
1032727,04-Apr-21,3:04:00 PM,Slight,247347,661129,Unclassified,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
1032756,05-Apr-21,8:28:00 AM,Slight,254982,669419,Unclassified,#NULL!,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
1032771,31-Dec-20,1:00:00 PM,Slight,227605,676649,Unclassified,#NULL!,Renfrewshire and Inverclyde,Inverclyde,
1032773,04-Apr-21,7:00:00 PM,Serious,260530,665913,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
